time=2024-10-20T07:55:35.421+05:30 level=INFO module=nivindu_lakshitha/Backend.logger_writter message="WebSocket handshake request received."
time=2024-10-20T07:55:35.464+05:30 level=INFO module=nivindu_lakshitha/Backend.logger_writter message="WebSocket handshake request received."
time=2024-10-20T07:55:35.501+05:30 level=INFO module=nivindu_lakshitha/Backend.logger_writter message="WebSocket handshake request received."
time=2024-10-20T07:55:35.542+05:30 level=INFO module=nivindu_lakshitha/Backend.logger_writter message="WebSocket handshake request received."
time=2024-10-20T07:55:41.065+05:30 level=INFO module=nivindu_lakshitha/Backend.logger_writter message="Connection is alive: 2c6e85fffe0af67c-00003158-00000007-2335ee68bf468b00-f6158a03"
time=2024-10-20T07:55:41.069+05:30 level=INFO module=nivindu_lakshitha/Backend.logger_writter message="Connection is alive: 2c6e85fffe0af67c-00003158-00000008-2cfb44d4bf468b2d-746e778c"
time=2024-10-20T07:55:41.087+05:30 level=INFO module=nivindu_lakshitha/Backend.logger_writter message="Connection is alive: 2c6e85fffe0af67c-00003158-00000008-2cfb44d4bf468b2d-746e778c"
time=2024-10-20T07:55:41.099+05:30 level=INFO module=nivindu_lakshitha/Backend.logger_writter message="Connection is alive: 2c6e85fffe0af67c-00003158-00000007-2335ee68bf468b00-f6158a03"
time=2024-10-20T07:55:45.964+05:30 level=INFO module=nivindu_lakshitha/Backend.logger_writter message="Connection is alive: 2c6e85fffe0af67c-00003158-00000007-2335ee68bf468b00-f6158a03"
time=2024-10-20T07:55:45.965+05:30 level=INFO module=nivindu_lakshitha/Backend.logger_writter message="Connection is alive: 2c6e85fffe0af67c-00003158-00000008-2cfb44d4bf468b2d-746e778c"
time=2024-10-20T07:55:45.975+05:30 level=INFO module=nivindu_lakshitha/Backend.logger_writter message="Connection is alive: 2c6e85fffe0af67c-00003158-00000007-2335ee68bf468b00-f6158a03"
time=2024-10-20T07:55:45.976+05:30 level=INFO module=nivindu_lakshitha/Backend.logger_writter message="Connection is alive: 2c6e85fffe0af67c-00003158-00000008-2cfb44d4bf468b2d-746e778c"
time=2024-10-20T07:55:50.970+05:30 level=INFO module=nivindu_lakshitha/Backend.logger_writter message="Connection is alive: 2c6e85fffe0af67c-00003158-00000007-2335ee68bf468b00-f6158a03"
time=2024-10-20T07:55:50.973+05:30 level=INFO module=nivindu_lakshitha/Backend.logger_writter message="Connection is alive: 2c6e85fffe0af67c-00003158-00000008-2cfb44d4bf468b2d-746e778c"
time=2024-10-20T07:55:50.991+05:30 level=INFO module=nivindu_lakshitha/Backend.logger_writter message="Connection is alive: 2c6e85fffe0af67c-00003158-00000007-2335ee68bf468b00-f6158a03"
time=2024-10-20T07:55:50.994+05:30 level=INFO module=nivindu_lakshitha/Backend.logger_writter message="Connection is alive: 2c6e85fffe0af67c-00003158-00000008-2cfb44d4bf468b2d-746e778c"
time=2024-10-20T07:55:56.159+05:30 level=INFO module=nivindu_lakshitha/Backend.logger_writter message="Connection is alive: 2c6e85fffe0af67c-00003158-00000007-2335ee68bf468b00-f6158a03"
time=2024-10-20T07:55:56.160+05:30 level=INFO module=nivindu_lakshitha/Backend.logger_writter message="Connection is alive: 2c6e85fffe0af67c-00003158-00000008-2cfb44d4bf468b2d-746e778c"
time=2024-10-20T07:55:56.169+05:30 level=INFO module=nivindu_lakshitha/Backend.logger_writter message="Connection is alive: 2c6e85fffe0af67c-00003158-00000007-2335ee68bf468b00-f6158a03"
time=2024-10-20T07:55:56.173+05:30 level=INFO module=nivindu_lakshitha/Backend.logger_writter message="Connection is alive: 2c6e85fffe0af67c-00003158-00000008-2cfb44d4bf468b2d-746e778c"
time=2024-10-20T07:56:45.978+05:30 level=INFO module=nivindu_lakshitha/Backend.logger_writter message="Connection is alive: 2c6e85fffe0af67c-00003158-00000007-2335ee68bf468b00-f6158a03"
time=2024-10-20T07:56:45.984+05:30 level=INFO module=nivindu_lakshitha/Backend.logger_writter message="Connection is alive: 2c6e85fffe0af67c-00003158-00000008-2cfb44d4bf468b2d-746e778c"
time=2024-10-20T07:56:45.992+05:30 level=INFO module=nivindu_lakshitha/Backend.logger_writter message="Connection is alive: 2c6e85fffe0af67c-00003158-00000007-2335ee68bf468b00-f6158a03"
time=2024-10-20T07:56:46.005+05:30 level=INFO module=nivindu_lakshitha/Backend.logger_writter message="Connection is alive: 2c6e85fffe0af67c-00003158-00000008-2cfb44d4bf468b2d-746e778c"
time=2024-10-20T07:56:50.498+05:30 level=INFO module=nivindu_lakshitha/Backend.logger_writter message="Connection is alive: 2c6e85fffe0af67c-00003158-00000008-2cfb44d4bf468b2d-746e778c"
time=2024-10-20T07:56:50.647+05:30 level=INFO module=nivindu_lakshitha/Backend.logger_writter message="Connection is alive: 2c6e85fffe0af67c-00003158-00000008-2cfb44d4bf468b2d-746e778c"
time=2024-10-20T07:56:55.956+05:30 level=INFO module=nivindu_lakshitha/Backend.logger_writter message="Connection is alive: 2c6e85fffe0af67c-00003158-00000008-2cfb44d4bf468b2d-746e778c"
time=2024-10-20T07:56:55.971+05:30 level=INFO module=nivindu_lakshitha/Backend.logger_writter message="Connection is alive: 2c6e85fffe0af67c-00003158-00000008-2cfb44d4bf468b2d-746e778c"
time=2024-10-20T07:57:00.953+05:30 level=INFO module=nivindu_lakshitha/Backend.logger_writter message="Connection is alive: 2c6e85fffe0af67c-00003158-00000008-2cfb44d4bf468b2d-746e778c"
time=2024-10-20T07:57:00.961+05:30 level=INFO module=nivindu_lakshitha/Backend.logger_writter message="Connection is alive: 2c6e85fffe0af67c-00003158-00000008-2cfb44d4bf468b2d-746e778c"
time=2024-10-20T07:57:05.957+05:30 level=INFO module=nivindu_lakshitha/Backend.logger_writter message="Connection is alive: 2c6e85fffe0af67c-00003158-00000008-2cfb44d4bf468b2d-746e778c"
time=2024-10-20T07:57:05.967+05:30 level=INFO module=nivindu_lakshitha/Backend.logger_writter message="Connection is alive: 2c6e85fffe0af67c-00003158-00000008-2cfb44d4bf468b2d-746e778c"
time=2024-10-20T07:57:10.984+05:30 level=INFO module=nivindu_lakshitha/Backend.logger_writter message="Connection is alive: 2c6e85fffe0af67c-00003158-00000008-2cfb44d4bf468b2d-746e778c"
time=2024-10-20T07:57:10.998+05:30 level=INFO module=nivindu_lakshitha/Backend.logger_writter message="Connection is alive: 2c6e85fffe0af67c-00003158-00000008-2cfb44d4bf468b2d-746e778c"
time=2024-10-20T07:57:15.955+05:30 level=INFO module=nivindu_lakshitha/Backend.logger_writter message="Connection is alive: 2c6e85fffe0af67c-00003158-00000008-2cfb44d4bf468b2d-746e778c"
time=2024-10-20T07:57:15.962+05:30 level=INFO module=nivindu_lakshitha/Backend.logger_writter message="Connection is alive: 2c6e85fffe0af67c-00003158-00000008-2cfb44d4bf468b2d-746e778c"
time=2024-10-20T07:57:20.816+05:30 level=INFO module=nivindu_lakshitha/Backend.logger_writter message="Connection is alive: 2c6e85fffe0af67c-00003158-00000008-2cfb44d4bf468b2d-746e778c"
time=2024-10-20T07:57:20.827+05:30 level=INFO module=nivindu_lakshitha/Backend.logger_writter message="Connection is alive: 2c6e85fffe0af67c-00003158-00000008-2cfb44d4bf468b2d-746e778c"
time=2024-10-20T07:57:25.980+05:30 level=INFO module=nivindu_lakshitha/Backend.logger_writter message="Connection is alive: 2c6e85fffe0af67c-00003158-00000008-2cfb44d4bf468b2d-746e778c"
time=2024-10-20T07:57:25.995+05:30 level=INFO module=nivindu_lakshitha/Backend.logger_writter message="Connection is alive: 2c6e85fffe0af67c-00003158-00000008-2cfb44d4bf468b2d-746e778c"
time=2024-10-20T07:57:30.962+05:30 level=INFO module=nivindu_lakshitha/Backend.logger_writter message="Connection is alive: 2c6e85fffe0af67c-00003158-00000008-2cfb44d4bf468b2d-746e778c"
